Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_Locale_defaults,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_1Part,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_2Part,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_3Part,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLocaleLookupList_Locale,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLocaleLookupList_LocaleLocale,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testAvailableLocaleList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testAvailableLocaleSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testIsAvailableLocale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testIsAvailableLocale,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.LocaleUtils.isAvailableLocale; org.apache.commons.lang3.LocaleUtils.availableLocaleSet
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testThreeCharsLocale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLanguagesByCountry,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testCountriesByLanguage,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLang328,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLanguageAndUNM49Numeric3AreaCodeLang1312,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLang865,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,CharSetTest,testClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,CharSetTest,testGetInstance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,CharSetTest,testGetInstance_Stringarray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_simple,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_simple,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.toString; org.apache.commons.lang3.CharSet.toString
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_combo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_combo,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.is; org.apache.commons.lang3.CharRange.isIn
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_comboNegated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_comboNegated,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.isNot; org.apache.commons.lang3.CharRange.isNotIn; org.apache.commons.lang3.CharRange.is
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddDash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddDash,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.is; org.apache.commons.lang3.CharRange.isIn
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddNegate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 25
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddNegate,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.isNot; org.apache.commons.lang3.CharRange.isNotIn; org.apache.commons.lang3.CharRange.is
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddCombinations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
commons-lang,org.apache.commons.lang3,CharSetTest,testConstructor_String_oddCombinations,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.isNotIn; org.apache.commons.lang3.CharRange.isIn; org.apache.commons.lang3.CharRange.is; org.apache.commons.lang3.CharSet.contains
commons-lang,org.apache.commons.lang3,CharSetTest,testEquals_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
commons-lang,org.apache.commons.lang3,CharSetTest,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,CharSetTest,testContains_Char,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
commons-lang,org.apache.commons.lang3,CharSetTest,testContains_Char,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharSet.toString; org.apache.commons.lang3.CharSet.contains
commons-lang,org.apache.commons.lang3,CharSetTest,testSerialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,CharSetTest,testStatics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
commons-lang,org.apache.commons.lang3,CharSetTest,testStatics,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.CharSet.getCharRanges; org.apache.commons.lang3.CharRange.isIn
commons-lang,org.apache.commons.lang3,CharSetTest,testJavadocExamples,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ConversionTest,testHexDigitToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
commons-lang,org.apache.commons.lang3,ConversionTest,testHexDigitMsb0ToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
commons-lang,org.apache.commons.lang3,ConversionTest,testHexDigitToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
commons-lang,org.apache.commons.lang3,ConversionTest,testHexDigitMsb0ToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
